id,levelId,title,description,type,category,difficulty,points,dueDate,isActive,questions,createdAt
task-5egb-2,quinto-egb,Rueda Fortuna Avanzada,Rueda grande con efectos especiales,project,electronica,intermedio,35,2026-03-01,true,"¿Cuántas góndolas tiene tu rueda avanzada?|¿Qué efectos de iluminación programaste?|¿Cómo controlas la velocidad del motor?|Describe tu tema personalizado",2026-01-20
task-5egb-3,quinto-egb,Radio RF-FM Profesional,Radio con amplificador de audio,project,electronica,intermedio,25,2026-03-15,true,"¿Cuántos componentes soldaste?|¿Cómo mejoraste la recepción con la bobina?|¿Qué controles de audio tiene tu radio?|Explica la diferencia entre RF y FM",2026-01-20
task-6egb-1,sexto-egb,Carro Solar,Construye vehículo con energía fotovoltaica,project,electronica,intermedio,30,2026-02-15,true,"¿Cómo funciona una celda solar?|¿Qué voltaje genera tu panel solar?|¿Para qué sirve el diodo en el circuito de carga?|¿Cuánto tiempo funciona después de 1 hora de carga?",2026-01-20
task-6egb-2,sexto-egb,Robot 4 en 1 - Modos,Programa los 4 modos del robot,project,robotica,intermedio,35,2026-03-01,true,"Describe el MODO 1 (Control por Voz)|Describe el MODO 2 (Control IR)|Describe el MODO 3 (Seguidor de Línea)|Describe el MODO 4 (Evita Obstáculos Táctil)",2026-01-20
task-6egb-3,sexto-egb,Comparación de Modos,Analiza cuál modo es mejor para cada situación,concept,ia,intermedio,15,2026-03-15,true,"¿Cuál modo es más preciso?|¿Cuál modo es más rápido?|¿Cuál modo es más autónomo?|¿Por qué los sensores son como los sentidos del robot?",2026-01-20
task-7egb-1,septimo-egb,Programación Visual Scratch,Crea programas con bloques,concept,programacion,intermedio,20,2026-02-01,true,"¿Qué es un bucle (repeat)?|¿Qué es un condicional (if)?|¿Qué es una variable?|Describe un programa que creaste en Scratch",2026-01-20
task-7egb-2,septimo-egb,Carro Robot Multi-Sensor,Robot con 3 tipos de sensores integrados,project,robotica,intermedio,30,2026-02-15,true,"¿Qué 3 tipos de sensores tiene tu robot?|Escribe el pseudocódigo de comportamiento|¿Cómo organizaste las conexiones?|¿Qué ajustes hiciste en las pruebas?",2026-01-20
task-7egb-3,septimo-egb,Robot 4en1 Mejorado,Versión avanzada con secuencias complejas,project,robotica,intermedio,30,2026-03-01,true,"¿Qué mejoras tiene respecto al de 6º EGB?|Describe una secuencia compleja que programaste|¿Cómo personalizaste el comportamiento con bloques?",2026-01-20
task-7egb-4,septimo-egb,Preparación Microcontroladores,Comprende la estructura del código Arduino,concept,programacion,intermedio,20,2026-03-15,true,"¿Qué es un microcontrolador?|¿Qué diferencia hay entre Arduino y ESP32?|¿Qué hace la función setup()?|¿Qué hace la función loop()?|¿Cómo se compara con Scratch?",2026-01-20
task-8egb-1,octavo-egb,Setup Arduino IDE y Blink,Configura tu entorno de desarrollo ESP32,concept,programacion,intermedio,15,2026-02-01,true,"¿Qué es Arduino IDE?|¿Qué hace la función pinMode()?|¿Qué hace digitalWrite()?|Escribe el código para hacer parpadear un LED",2026-01-20
task-8egb-2,octavo-egb,Control de Motores TB6612FNG,Programa el control de motores con PWM,concept,electronica,intermedio,25,2026-02-15,true,"¿Qué pines controlan el Motor A en la PCB RC DRAGON?|¿Qué función usamos en ESP32 para PWM en lugar de analogWrite?|Escribe la función adelante() para mover ambos motores",2026-01-20
task-8egb-3,octavo-egb,Bluetooth Serial,Recibe comandos desde smartphone,concept,programacion,intermedio,25,2026-03-01,true,"¿Qué librería usamos para Bluetooth en ESP32?|¿Cómo leemos un caracter recibido por Bluetooth?|Escribe el código switch para los comandos F B L R S",2026-01-20
task-8egb-4,octavo-egb,Proyecto Carro Bluetooth,Presenta tu carro controlado por smartphone,project,robotica,intermedio,35,2026-03-15,true,"Describe las conexiones de tu carro|¿Qué problemas encontraste y cómo los solucionaste?|Muestra tu código comentado|¿Qué mejoras le agregarías?",2026-01-20
task-9egb-1,noveno-egb,Sensores IR TCRT5000,Lee valores de sensores infrarrojos,concept,electronica,intermedio,20,2026-02-01,true,"¿Qué valor retorna el sensor sobre línea negra?|¿Qué valor retorna sobre superficie blanca?|¿A qué pines GPIO conectamos los 2 sensores?",2026-01-20
task-9egb-2,noveno-egb,Lógica if-else Seguidor,Programa la lógica de seguimiento de línea,concept,programacion,intermedio,25,2026-02-15,true,"Escribe el pseudocódigo para seguir línea con 2 sensores|¿Qué hace el robot si ambos sensores están en línea negra?|¿Qué hace si el sensor izquierdo sale de la línea?",2026-01-20
task-9egb-3,noveno-egb,Proyecto Seguidor de Línea,Robot autónomo que sigue línea negra,project,robotica,intermedio,35,2026-03-15,true,"Describe el ensamblaje de tu robot|¿A qué altura colocaste los sensores?|Muestra tu código con la lógica if-else|¿Qué velocidad funciona mejor en curvas?",2026-01-20
task-10egb-1,decimo-egb,Sensor Ultrasónico HC-SR04,Mide distancias con ultrasonido,concept,electronica,avanzado,20,2026-02-01,true,"¿Cómo funciona el sensor ultrasónico?|¿Qué fórmula usamos para calcular la distancia?|¿A qué pines GPIO conectamos TRIGGER y ECHO?",2026-01-20
task-10egb-2,decimo-egb,Algoritmo de Evasión,Programa la lógica para evitar obstáculos,concept,programacion,avanzado,25,2026-02-15,true,"¿A qué distancia debe detenerse el robot?|Escribe el código de la función medirDistancia()|Describe el algoritmo de evasión paso a paso",2026-01-20
task-10egb-3,decimo-egb,Proyecto Evita Obstáculos,Robot autónomo que evita obstáculos,project,robotica,avanzado,35,2026-03-15,true,"Describe el montaje del sensor en tu robot|¿Cómo mejoraste el algoritmo para no quedar atrapado en esquinas?|Muestra tu código comentado|¿Qué distancia de detección usaste?",2026-01-20
task-1bach-1,primero-bach,Servomotores SG90,Controla ángulos precisos con servos,concept,electronica,avanzado,20,2026-02-01,true,"¿Cuál es la diferencia entre motor DC y servomotor?|¿Qué rango de ángulos tiene un servo SG90?|Escribe el código para mover un servo a 90 grados",2026-01-20
task-1bach-2,primero-bach,Construcción Robot Otto,Ensambla el robot bípedo Otto,project,robotica,avanzado,30,2026-02-15,true,"¿Cuántos servomotores tiene Otto?|¿A qué pines conectamos cada servo?|Describe el proceso de calibración de servos|¿Por qué es importante que Otto esté recto en posición neutral?",2026-01-20
task-1bach-3,primero-bach,Movimientos de Otto,Programa caminar bailar y más,concept,programacion,avanzado,25,2026-03-01,true,"Describe la secuencia de ángulos para que Otto camine|¿Cómo programas el movimiento de bailar?|Escribe el código para el movimiento de saltar",2026-01-20
task-1bach-4,primero-bach,Proyecto Otto Autónomo,Otto con comportamiento inteligente,project,robotica,avanzado,35,2026-03-15,true,"Describe el comportamiento autónomo de tu Otto|¿Cómo reacciona cuando detecta un obstáculo?|¿Qué sonidos programaste?|Presenta tu coreografía personalizada",2026-01-20
task-2bach-1,segundo-bach,Sensores de Borde TCRT5000,Instalar y programar sensores de borde para minisumo,concept,robotica,avanzado,20,2026-02-15,true,"¿Qué pines GPIO usamos para los sensores de borde?|¿Qué valor retorna el sensor sobre superficie negra (ring)?|Escribe la función detectoBorde() que retorna true si detecta línea blanca",2026-01-20
task-2bach-2,segundo-bach,Robot Minisumo - Construcción,Construye tu robot minisumo según especificaciones,project,robotica,avanzado,30,2026-03-01,true,"¿Cuáles son las dimensiones máximas del robot minisumo?|¿Por qué el centro de gravedad debe ser bajo?|¿Qué material usas para la pala frontal?|Describe tu estrategia de ataque",2026-01-20
task-2bach-3,segundo-bach,Robot Soccer - Mecanismo de Pateo,Diseña el mecanismo de pateo con servo,project,robotica,avanzado,30,2026-03-15,true,"¿Cómo funciona el mecanismo de pateo?|¿Qué sensor detecta la pelota infrarroja?|Escribe el algoritmo de juego básico",2026-01-20
task-2bach-4,segundo-bach,Estrategias de Competencia,Desarrolla estrategias de ataque y defensa,concept,ia,avanzado,20,2026-04-01,true,"Describe la estrategia agresiva|Describe la estrategia defensiva|¿Cómo analizas al oponente para ajustar táctica?|¿Por qué usamos millis() en lugar de delay()?",2026-01-20
task-3bach-1,tercero-bach,ESP32 y WiFi,Conectar ESP32 a red WiFi y crear servidor web,concept,electronica,avanzado,20,2026-02-15,true,"¿Qué librería usamos para WiFi en ESP32?|¿Cómo obtenemos la IP del ESP32?|Escribe el código para conectar a WiFi",2026-01-20
task-3bach-2,tercero-bach,Telegram Bot con ESP32,Crear bot de Telegram para control remoto,project,programacion,avanzado,30,2026-03-01,true,"¿Cómo obtienes el token del bot?|Lista 5 comandos que implementarías|Escribe el código para el comando /temp que envía la temperatura",2026-01-20
task-3bach-3,tercero-bach,Casa Inteligente - Diseño,Planifica tu sistema de domótica,project,robotica,avanzado,30,2026-03-15,true,"¿Qué habitaciones tendrá tu casa inteligente?|¿Qué sensores usarás en cada habitación?|¿Qué dispositivos controlarás con relés?|Describe 3 automatizaciones",2026-01-20
task-3bach-4,tercero-bach,Proyecto Final IoT,Presenta tu casa inteligente funcionando,project,ia,avanzado,40,2026-04-15,true,"Describe la arquitectura de tu sistema|¿Qué automatizaciones implementaste?|¿Cómo se controla remotamente?|Explica el código principal|¿Qué mejorarías en el futuro?",2026-01-20
